number,name,description,hotter,image
16,The Caboose,"While the giver sits on the bed or a chair, the receiver backs into the giver's lap and spoons while seated.",,the_caboose.png
17,Scoop Me Up,"Both partners lie on their sides, facing the same direction. The receiver brings their knees up slightly, while the giving partner slides up behind their pelvis and enters them from behind. (You may also know this as spooning.)",The giving partner can place their hands on the receiver's shoulders to increase the intensity and deepness of the thrust.,scoop_me_up.png
18,Reverse Scoop,"From the missionary position, without disengaging, turn together onto your sides, using your arms to support your upper bodies.",Try intertwining your legs together or fondling them down below.,reverse_scoop.png
19,Golden Arch,"The giving partner sits with their legs straight, and the receiver sits on top of the giver with bent knees on top of their thighs. Then, you both lean back.","Vulva owners can have their partner use their hand to rub their clitoris, or use your own. Lean back farther for extra G-spot stimulation.",golden_arch.jpg
20,The Seashell,The receiver should lie back with their legs raised all the way up and their ankles crossed behind their own head. The giver enters from a missionary position.,"For vulva owners, have the giver “ride high,” rubbing their pubic bone against your clitoris, or “ride low,” directly stimulating your G-spot with the head of the penis, the strap-on, a dildo, or a finger.",the_seashell.png
21,Butter Churner,"The receiver should lie on their back with their legs raised and folded over so that their ankles are on either side of their head, while the giver squats and dips their penis, strap-on, dildo, or finger in and out.","Have them dribble chocolate syrup or something sweet into your mouth (yes, really). It gets more of your senses involved, amping up the entire experience.",butter_churner.png
22,The Chairman,"The giving partner sits on the edge of the bed and the receiver sits on them, facing away. The receiving partner leans back on the giver, creating full body-to-body contact.","The receiver can bring their knees closer to their chest, supporting their feet on the bed.",the_chairman.png
23,The Pinball Wizard,"he receiver gets into a partial bridge position (like a pinball machine), with their weight resting on their shoulders. The giving partner enters the receiver from a kneeling position.",The receiver can throw one leg up against their partner's shoulder for deeper penetration.,the_pinball_wizard.png
24,Valedictorian,"From missionary position, the receiver raises their legs and extends them straight out (forming a “V”).",Receivers can try grabbing their ankles. That can give them stability and an added stretch to boost the sensation.,valedictorian.png
25,Spork,"The receiver should lie on their back and raise their right leg so the giving partner can position their body between their legs at a 90-degree angle and enter. The receiver's left leg can lie straight out on the bed or they can bend it to manipulate depth of penetration. For a rear-entry option, the receiver can lie on their stomach, bend one leg, and have the giving partner position themselves in between their legs.",Synchronize your breathing. One of you takes the lead and the other follows so that you inhale and exhale together. The coordinated rhythm opens an unspoken dialogue of intimacy.,spork.png
26,Seated Wheelbarrow,"The giving partner sits at the edge of a bed or chair, while the receiving partner positions themself so their butt is in the giver's lap. Then, the receiver plants their hands firmly on the floor, stretching their legs out behind the giver's waist (it’ll probably work better if the giver supports their partner's thighs) and pump away.","Try rhythmically squeezing your pelvic muscles, to help you both reach a strong climax.",seated_wheelbarrow.png
27,Table Top,"You don’t have to do this one on a table—any surface that hits your partner at crotch height will do. Have the giver enter while the receiver sits or lies at the edge of a table, counter, or bed.","The receiver can bring their legs down and place their feet on their partner's chest, in front of their shoulders. This allows the receiver to control the tempo and depth of thrusts.",table_top.png
28,Champagne Room,"The giving partner sits and the receiver sits on top of them, facing away. The receiving partner leans forward, rather than back on their partner (as seen in The Chairman).","Try doing it on the stairs or the edge of the tub. Takes a bit of talent...but hey, practice makes perfect, amirite?",champagne_room.png
29,The Om,"The giving partner sits cross-legged (yoga/pretzel-style), while the receiver sits in their lap facing them. The receiver should wrap their legs around the giver and hug each other for support.", Lock into each other’s deep gaze to put some extra “oh” into the big O.,the_om.png
30,Upstanding Citizen,"The receiver straddles the giver, wrapping their legs around the other's body (the giver keeps their knees unlocked and thighs spread slightly). The giver stands and supports the receiver in their arms. You can start on the bed and move around without disengaging. (Or, for the truly bold, receivers can hop aboard from the standing position!)",Have the giver push the receiver up against a wall—very carefully.,upstanding_citizen.png
31,The Spider,"Sit on the bed with legs toward one another, arms back to support yourselves. Now move together so that the receiver goes onto the giver's penis or strap-on. The receiver's hips will be between the giver's spread legs, the receiver's knees bent, and feet outside of the giver's hips and flat on the bed. Now rock back and forth.",The receiving partner can grab the giver’s hands and pull themself up into a squatting position while the giver lies back. Or the giver can remain seated upright and pull the receiver against their chest into the Lazy Man position (see below).,the_spider.png
32,The Good Ex,"Sit on the bed facing each other with legs forward. The giving partner’s right leg goes over the receiver's left, and the receiver's right leg goes over the giver's left. Come together so the giver can enter. Now both of you lie back, your legs forming an X. Slow, leisurely gyrations replace thrusting.","Reach out and hold hands to pull together for pelvic thrusting. Also, take turns alternatively sitting up and lying back without changing the rhythm.",the_good_ex.png
33,The Lazy Man,"Place pillows behind the giving partner’s back and have them sit on the bed with legs outstretched. (Got a sex pillow? Break it out!) Now the receiving partner can straddle their waist with feet on the bed. The receiver should bend their knees to lower themself onto their partner, using one hand to direct the penis or strap-on in. Just by pressing on the balls of their feet and releasing, they can raise and lower themself onto the shaft as slowly or as quickly as they please.","From this position, you both can lie back into the Spider position or its more challenging variation, the Good Ex.",the_lazy_man.png
34,Snow Angel,"The receiver should lie on their back and have the giving partner straddle them, facing away. The receiver lifts their legs and wraps them around the giver's back to elevate their pelvis so the giver can enter. Grabbing the giver's butt can help them slide up and back.","Have the giver spin around into missionary style to face the receiver while trying to stay inserted. Then, switch positions, this time with the receiver on top and facing away.",snow_angel.png
35,Wrapped Lotus,"The giving partner sits cross-legged and the receiver climbs into their lap, facing them, with the receiver's legs wrapped around the giver's back. The giving partner enters, and the receiver grinds up against their pelvis.",Ask them to lick your nipples and let their hands roam. And roam...and roam. (You get the idea.),wrapped_lotus.png
36,The Snake,"The receiver lies down on their stomach, lifting up their butt. (They can also use a wedge or sex pillow to get the angle just right.) Then, the giving partner lies down on top of them and slides in from behind.","Receivers can reach back and wrap their hand around the shaft to help control how deep the giver gets, or they can change up the angle of their butt for the same effect.",the_snake.png
37,Woman Astride,"This position is just like cowgirl, but with a twist. The receiver climbs on top, while their partner enters them from a lying down position. Then, the receiver leans back and places their hands on the bed for support, creating a 45-degree angle with the giving partner's legs.","If you have a vulva, give yourself a hand with the “V stroke”: Make a V with the index and ring finger of one hand and place the fingers on either side of the clitoris with the giving partner's penis, strap-on, or a dildo in between. Push your fingers down in a rocking motion.",woman_astride.png
38,Stand and Deliver,"With both of you standing, the receiver bends over at the waist; the giver enters from behind.","Those with vulvas can ask for clitoral stimulation, or the giver can loosely tie their partner's hands together with a silky scarf.",stand_and_deliver.png
39,Coital Alignment Technique,"The receiver lies on their back and wraps their ankles around the giving partner's calves. Then, the receiver should flex their legs to bring their partner closer.","Taking it slow will give you and your partner an opportunity to talk dirty, gaze into each other's eyes, and all that good stuff.",coital_alignment_technique.png
